2026-07-28T18:00:13.973+00:00 | ⚠️  WARNING  | optimizer                      | [DynamicBreakoutStrategy/GOOG.ETORO] REWARD_TERM_INERT: divergence
2026-07-28T18:00:13.973+00:00 | ⚠️  WARNING  | optimizer                      | [DynamicBreakoutStrategy/GOOG.ETORO] REWARD_TERM_INERT: tie_breaker
2026-07-28T18:01:35.917+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/GOOG.ETORO] REWARD_TERM_INERT: divergence
2026-07-28T18:01:35.917+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/GOOG.ETORO] REWARD_TERM_INERT: dd_penalty
2026-07-28T18:01:35.917+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/GOOG.ETORO] REWARD_TERM_INERT: param_pen
2026-07-28T18:01:35.917+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/GOOG.ETORO] REWARD_TERM_INERT: turnover
2026-07-28T18:01:35.917+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/GOOG.ETORO] REWARD_TERM_INERT: tie_breaker
2026-07-28T18:01:44.219+00:00 | ⚠️  WARNING  | optimizer                      | [HourlyMeanReversionStrategy/GOOG.ETORO] [#597] GOOG.ETORO: boundary_hit_fraction=0.33 > 0.3 — der Gewinner klebt an den Suchraumgrenzen (Randlösung: cooldown_bars=high, max_bars_in_trade=low). Suchraum prüfen ODER Reward-Konditionierung (Turnover/Drawdown).
2026-07-28T18:03:48.509+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/GOOG.ETORO] [#667] Gate-Kollinearität: |ρ(oos_min_psr, any_condition)|=0.967 > 0.90 über 160 Trials — die beiden eligible-Gates kodieren mutmasslich redundant dieselbe latente Achse; Konsolidierung auf das statistisch schärfste (PSR, fenster-/annualisierungs-invariant) erwägen.
2026-07-28T18:03:48.511+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/GOOG.ETORO] REWARD_TERM_INERT: divergence
2026-07-28T18:03:48.511+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/GOOG.ETORO] REWARD_TERM_INERT: dd_penalty
2026-07-28T18:03:48.511+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/GOOG.ETORO] REWARD_TERM_INERT: turnover
2026-07-28T18:03:48.511+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/GOOG.ETORO] REWARD_TERM_INERT: tie_breaker
