2026-05-29 17:27:18,056 | DEBUG    | api_backfiller | [api_backfiller] FICO.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:18,121 | INFO     | api_backfiller | [api_backfiller] FICO.ETORO: 89 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:18,125 | DEBUG    | api_backfiller | [api_backfiller] FICO.ETORO: 454→385 Zeilen (-69 Duplikate)
2026-05-29 17:27:18,127 | INFO     | api_backfiller | [api_backfiller] FICO.ETORO: 385 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:19,232 | DEBUG    | api_backfiller | [api_backfiller] FISV.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:19,358 | INFO     | api_backfiller | [api_backfiller] FISV.ETORO: 89 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:19,363 | DEBUG    | api_backfiller | [api_backfiller] FISV.ETORO: 918→849 Zeilen (-69 Duplikate)
2026-05-29 17:27:19,364 | INFO     | api_backfiller | [api_backfiller] FISV.ETORO: 849 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:20,470 | DEBUG    | api_backfiller | [api_backfiller] GLW.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:20,538 | INFO     | api_backfiller | [api_backfiller] GLW.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:20,543 | DEBUG    | api_backfiller | [api_backfiller] GLW.ETORO: 1292→1221 Zeilen (-71 Duplikate)
2026-05-29 17:27:20,545 | INFO     | api_backfiller | [api_backfiller] GLW.ETORO: 1221 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:21,650 | DEBUG    | api_backfiller | [api_backfiller] GOOGL.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:21,718 | INFO     | api_backfiller | [api_backfiller] GOOGL.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:21,724 | DEBUG    | api_backfiller | [api_backfiller] GOOGL.ETORO: 3266→3195 Zeilen (-71 Duplikate)
2026-05-29 17:27:21,726 | INFO     | api_backfiller | [api_backfiller] GOOGL.ETORO: 3195 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:22,831 | DEBUG    | api_backfiller | [api_backfiller] GSAT.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:22,897 | INFO     | api_backfiller | [api_backfiller] GSAT.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:22,902 | DEBUG    | api_backfiller | [api_backfiller] GSAT.ETORO: 1407→1383 Zeilen (-24 Duplikate)
2026-05-29 17:27:22,904 | INFO     | api_backfiller | [api_backfiller] GSAT.ETORO: 1383 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:24,009 | DEBUG    | api_backfiller | [api_backfiller] GTLB.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:24,084 | INFO     | api_backfiller | [api_backfiller] GTLB.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:24,088 | DEBUG    | api_backfiller | [api_backfiller] GTLB.ETORO: 891→867 Zeilen (-24 Duplikate)
2026-05-29 17:27:24,089 | INFO     | api_backfiller | [api_backfiller] GTLB.ETORO: 867 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:25,195 | DEBUG    | api_backfiller | [api_backfiller] HAL.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:25,314 | INFO     | api_backfiller | [api_backfiller] HAL.ETORO: 90 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:25,319 | DEBUG    | api_backfiller | [api_backfiller] HAL.ETORO: 1675→1606 Zeilen (-69 Duplikate)
2026-05-29 17:27:25,320 | INFO     | api_backfiller | [api_backfiller] HAL.ETORO: 1606 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:26,426 | DEBUG    | api_backfiller | [api_backfiller] HUBS.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:26,505 | INFO     | api_backfiller | [api_backfiller] HUBS.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:26,508 | DEBUG    | api_backfiller | [api_backfiller] HUBS.ETORO: 372→348 Zeilen (-24 Duplikate)
2026-05-29 17:27:26,509 | INFO     | api_backfiller | [api_backfiller] HUBS.ETORO: 348 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:27,615 | DEBUG    | api_backfiller | [api_backfiller] INSW.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:27,683 | INFO     | api_backfiller | [api_backfiller] INSW.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:27,687 | DEBUG    | api_backfiller | [api_backfiller] INSW.ETORO: 1433→1409 Zeilen (-24 Duplikate)
2026-05-29 17:27:27,688 | INFO     | api_backfiller | [api_backfiller] INSW.ETORO: 1409 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:28,794 | DEBUG    | api_backfiller | [api_backfiller] JNJ.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:28,864 | INFO     | api_backfiller | [api_backfiller] JNJ.ETORO: 90 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:28,868 | DEBUG    | api_backfiller | [api_backfiller] JNJ.ETORO: 820→751 Zeilen (-69 Duplikate)
2026-05-29 17:27:28,869 | INFO     | api_backfiller | [api_backfiller] JNJ.ETORO: 751 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:29,975 | DEBUG    | api_backfiller | [api_backfiller] LRCX.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:30,047 | INFO     | api_backfiller | [api_backfiller] LRCX.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:30,052 | DEBUG    | api_backfiller | [api_backfiller] LRCX.ETORO: 1321→1250 Zeilen (-71 Duplikate)
2026-05-29 17:27:30,053 | INFO     | api_backfiller | [api_backfiller] LRCX.ETORO: 1250 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:31,159 | DEBUG    | api_backfiller | [api_backfiller] LULU.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:31,233 | INFO     | api_backfiller | [api_backfiller] LULU.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:31,237 | DEBUG    | api_backfiller | [api_backfiller] LULU.ETORO: 697→626 Zeilen (-71 Duplikate)
2026-05-29 17:27:31,238 | INFO     | api_backfiller | [api_backfiller] LULU.ETORO: 626 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:32,344 | DEBUG    | api_backfiller | [api_backfiller] MNDY.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:32,413 | INFO     | api_backfiller | [api_backfiller] MNDY.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:32,417 | DEBUG    | api_backfiller | [api_backfiller] MNDY.ETORO: 260→236 Zeilen (-24 Duplikate)
2026-05-29 17:27:32,417 | INFO     | api_backfiller | [api_backfiller] MNDY.ETORO: 236 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:33,523 | DEBUG    | api_backfiller | [api_backfiller] MTZ.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:33,593 | INFO     | api_backfiller | [api_backfiller] MTZ.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:33,596 | DEBUG    | api_backfiller | [api_backfiller] MTZ.ETORO: 265→241 Zeilen (-24 Duplikate)
2026-05-29 17:27:33,597 | INFO     | api_backfiller | [api_backfiller] MTZ.ETORO: 241 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:34,703 | DEBUG    | api_backfiller | [api_backfiller] MU.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:34,783 | INFO     | api_backfiller | [api_backfiller] MU.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:34,791 | DEBUG    | api_backfiller | [api_backfiller] MU.ETORO: 5748→5677 Zeilen (-71 Duplikate)
2026-05-29 17:27:34,793 | INFO     | api_backfiller | [api_backfiller] MU.ETORO: 5677 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:35,899 | DEBUG    | api_backfiller | [api_backfiller] NOW.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:35,965 | INFO     | api_backfiller | [api_backfiller] NOW.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:35,971 | DEBUG    | api_backfiller | [api_backfiller] NOW.ETORO: 2959→2889 Zeilen (-70 Duplikate)
2026-05-29 17:27:35,972 | INFO     | api_backfiller | [api_backfiller] NOW.ETORO: 2889 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:37,076 | DEBUG    | api_backfiller | [api_backfiller] PBR.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:37,153 | INFO     | api_backfiller | [api_backfiller] PBR.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:37,156 | DEBUG    | api_backfiller | [api_backfiller] PBR.ETORO: 356→332 Zeilen (-24 Duplikate)
2026-05-29 17:27:37,158 | INFO     | api_backfiller | [api_backfiller] PBR.ETORO: 332 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:38,264 | DEBUG    | api_backfiller | [api_backfiller] PINS.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:38,367 | INFO     | api_backfiller | [api_backfiller] PINS.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:38,370 | DEBUG    | api_backfiller | [api_backfiller] PINS.ETORO: 472→448 Zeilen (-24 Duplikate)
2026-05-29 17:27:38,370 | INFO     | api_backfiller | [api_backfiller] PINS.ETORO: 448 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:39,476 | DEBUG    | api_backfiller | [api_backfiller] POWL.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:39,550 | INFO     | api_backfiller | [api_backfiller] POWL.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:39,554 | DEBUG    | api_backfiller | [api_backfiller] POWL.ETORO: 351→327 Zeilen (-24 Duplikate)
2026-05-29 17:27:39,555 | INFO     | api_backfiller | [api_backfiller] POWL.ETORO: 327 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:40,661 | DEBUG    | api_backfiller | [api_backfiller] SE.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:40,729 | INFO     | api_backfiller | [api_backfiller] SE.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:40,733 | DEBUG    | api_backfiller | [api_backfiller] SE.ETORO: 518→494 Zeilen (-24 Duplikate)
2026-05-29 17:27:40,734 | INFO     | api_backfiller | [api_backfiller] SE.ETORO: 494 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:41,838 | DEBUG    | api_backfiller | [api_backfiller] SNAP.ETORO: Precision-Fallback price_prec=2, size_prec=2
